problem_id,problem,answer
pe-302,"A positive integer $n$ is powerful if $p^2$ is a divisor of $n$ for every prime factor $p$ in $n$.

A positive integer $n$ is a perfect power if $n$ can be expressed as a power of another positive integer.

A positive integer $n$ is an Achilles number if $n$ is powerful but not a perfect power. For example, $864$ and $1800$ are Achilles numbers: $864 = 2^5 \cdot 3^3$ and $1800 = 2^3 \cdot 3^2 \cdot 5^2$.

We shall call a positive integer $S$ a Strong Achilles number if both $S$ and $\phi(S)$ are Achilles numbers.1

For example, $864$ is a Strong Achilles number: $\phi(864) = 288 = 2^5 \cdot 3^2$. However, $1800$ isn't a Strong Achilles number because: $\phi(1800) = 480 = 2^5 \cdot 3^1 \cdot 5^1$.

There are $7$ Strong Achilles numbers below $10^4$ and $656$ below $10^8$.

How many Strong Achilles numbers are there below $10^{18}$?

1 $\phi$ denotes Euler's totient function.

Give your answer modulo $99991$.",REDACTED
pe-303,"For a positive integer $n$, define $f(n)$ as the least positive multiple of $n$ that, written in base $10$, uses only digits $\le 2$.

Thus $f(2)=2$, $f(3)=12$, $f(7)=21$, $f(42)=210$, $f(89)=1121222$.

Also, $\sum \limits_{n = 1}^{100} {\dfrac{f(n)}{n}} = 11363107$.

Find $\sum \limits_{n=1}^{10000} {\dfrac{f(n)}{n}}$.

Give your answer modulo $99991$.",REDACTED
pe-304,"For any positive integer $n$ the function $\operatorname{next\_prime}(n)$ returns the smallest prime $p$ such that $p \gt n$.

The sequence $a(n)$ is defined by:

$a(1)=\operatorname{next\_prime}(10^{14})$ and $a(n)=\operatorname{next\_prime}(a(n-1))$ for $n \gt 1$.

The Fibonacci sequence $f(n)$ is defined by:
$f(0)=0$, $f(1)=1$ and $f(n)=f(n-1)+f(n-2)$ for $n \gt 1$.

The sequence $b(n)$ is defined as $f(a(n))$.

Find $\sum b(n)$ for $1 \le n \le 100\,000$. 
Give your answer mod $1234567891011$.",REDACTED
pe-305,"Let's call $S$ the (infinite) string that is made by concatenating the consecutive positive integers (starting from $1$)  written down in base $10$.
 
Thus, $S = 1234567891011121314151617181920212223242\cdots$

It's easy to see that any number will show up an infinite number of times in $S$.

Let's call $f(n)$ the starting position of the $n$th occurrence of $n$ in $S$.
 
For example, $f(1)=1$, $f(5)=81$, $f(12)=271$ and $f(7780)=111111365$.

Find $\sum f(3^k)$ for $1 \le k \le 13$.

Give your answer modulo $99991$.",REDACTED
pe-308,"A program written in the programming language Fractran consists of a list of fractions.

The internal state of the Fractran Virtual Machine is a positive integer, which is initially set to a seed value. Each iteration of a Fractran program multiplies the state integer by the first fraction in the list which will leave it an integer.

For example, one of the Fractran programs that John Horton Conway wrote for prime-generation consists of the following 14 fractions:

$$\dfrac{17}{91}, \dfrac{78}{85}, \dfrac{19}{51}, \dfrac{23}{38}, \dfrac{29}{33}, \dfrac{77}{29}, \dfrac{95}{23}, \dfrac{77}{19}, \dfrac{1}{17}, \dfrac{11}{13}, \dfrac{13}{11}, \dfrac{15}{2}, \dfrac{1}{7}, \dfrac{55}{1}$$

Starting with the seed integer 2, successive iterations of the program produce the sequence:

15, 825, 725, 1925, 2275, 425, ..., 68, 4, 30, ..., 136, 8, 60, ..., 544, 32, 240, ...

The powers of 2 that appear in this sequence are 22, 23, 25, ...

It can be shown that all the powers of 2 in this sequence have prime exponents and that all the primes appear as exponents of powers of 2, in proper order!

If someone uses the above Fractran program to solve Project Euler Problem 7 (find the 10001st prime), how many iterations would be needed until the program produces 210001st prime ?

Give your answer modulo $99991$.",REDACTED
pe-310,"Alice and Bob play the game Nim Square.

Nim Square is just like ordinary three-heap normal play Nim, but the players may only remove a square number of stones from a heap.

The number of stones in the three heaps is represented by the ordered triple $(a,b,c)$.

If $0 \le a \le b \le c \le 29$ then the number of losing positions for the next player is $1160$.

Find the number of losing positions for the next player if $0 \le a \le b \le c \le 100\,000$.

Give your answer modulo $99991$.",REDACTED
pe-316,"Let $p = p_1 p_2 p_3 \cdots$ be an infinite sequence of random digits, selected from $\{0,1,2,3,4,5,6,7,8,9\}$ with equal probability.

It can be seen that $p$ corresponds to the real number $0.p_1 p_2 p_3 \cdots$ 

It can also be seen that choosing a random real number from the interval $[0,1)$ is equivalent to choosing an infinite sequence of random digits selected from $\{0,1,2,3,4,5,6,7,8,9\}$ with equal probability.

For any positive integer $n$ with $d$ decimal digits, let $k$ be the smallest index such that $p_k, p_{k + 1}, \dots, p_{k + d - 1}$ are the decimal digits of $n$, in the same order.

Also, let $g(n)$ be the expected value of $k$; it can be proven that $g(n)$ is always finite and, interestingly, always an integer number.

For example, if $n = 535$, then

for $p = 31415926\mathbf{535}897\cdots$, we get $k = 9$

for $p = 35528714365004956000049084876408468\mathbf{535}4\cdots$, we get $k = 36$

etc and we find that $g(535) = 1008$.

Given that $\displaystyle\sum_{n = 2}^{999} g \left(\left\lfloor\frac{10^6} n \right\rfloor\right) = 27280188$, find $\displaystyle\sum_{n = 2}^{999999} g \left(\left\lfloor\frac{10^{16}} n \right\rfloor\right)$.

Note: $\lfloor x \rfloor$ represents the floor function.

Give your answer modulo $99991$.",REDACTED
pe-318,"Consider the real number $\sqrt 2 + \sqrt 3$.

When we calculate the even powers of $\sqrt 2 + \sqrt 3$
we get:

$(\sqrt 2 + \sqrt 3)^2 = 9.898979485566356 \cdots $

$(\sqrt 2 + \sqrt 3)^4 = 97.98979485566356 \cdots $

$(\sqrt 2 + \sqrt 3)^6 = 969.998969071069263 \cdots $

$(\sqrt 2 + \sqrt 3)^8 = 9601.99989585502907 \cdots $

$(\sqrt 2 + \sqrt 3)^{10} = 95049.999989479221 \cdots $

$(\sqrt 2 + \sqrt 3)^{12} = 940897.9999989371855 \cdots $

$(\sqrt 2 + \sqrt 3)^{14} = 9313929.99999989263 \cdots $

$(\sqrt 2 + \sqrt 3)^{16} = 92198401.99999998915 \cdots $

It looks as if the number of consecutive nines at the beginning of the fractional part of these powers is non-decreasing.

In fact it can be proven that the fractional part of $(\sqrt 2 + \sqrt 3)^{2 n}$ approaches $1$ for large $n$.

Consider all real numbers of the form $\sqrt p + \sqrt q$ with $p$ and $q$ positive integers and $p &lt; q$, such that the fractional part 
of $(\sqrt p + \sqrt q)^{ 2 n}$ approaches $1$ for large $n$.

Let $C(p,q,n)$ be the number of consecutive nines at the beginning of the fractional part of $(\sqrt p + \sqrt q)^{ 2 n}$.

Let $N(p,q)$ be the minimal value of $n$ such that $C(p,q,n) \ge 2011$.

Find $\displaystyle \sum N(p,q) \,\, \text{ for } p+q \le 2011$.

Give your answer modulo $99991$.",REDACTED
pe-319,"Let $x_1, x_2, \dots, x_n$ be a sequence of length $n$ such that:

- $x_1 = 2$

- for all $1 \lt i \le n$: $x_{i - 1} \lt x_i$

- for all $i$ and $j$ with $1 \le i, j \le n$: $(x_i)^j \lt (x_j + 1)^i$.

There are only five such sequences of length $2$, namely:
$\{2,4\}$, $\{2,5\}$, $\{2,6\}$, $\{2,7\}$ and $\{2,8\}$.

There are $293$ such sequences of length $5$; three examples are given below:

$\{2,5,11,25,55\}$, $\{2,6,14,36,88\}$, $\{2,8,22,64,181\}$.

Let $t(n)$ denote the number of such sequences of length $n$.

You are given that $t(10) = 86195$ and $t(20) = 5227991891$.

Find $t(10^{10})$ and give your answer modulo $10^9$.",REDACTED
pe-320,"Let $N(i)$ be the smallest integer $n$ such that $n!$ is divisible by $(i!)^{1234567890}$

Let $S(u)=\sum N(i)$ for $10 \le i \le u$.

$S(1000)=614538266565663$.

Find $S(1\,000\,000) \bmod 10^{18}$.",REDACTED
pe-322,"Let $T(m, n)$ be the number of the binomial coefficients $^iC_n$ that are divisible by $10$ for $n \le i \lt m$ ($i$, $m$ and $n$ are positive integers).

You are given that $T(10^9, 10^7-10) = 989697000$.

Find $T(10^{18}, 10^{12}-10)$.

Give your answer modulo $99991$.",REDACTED
pe-324,"Let $f(n)$ represent the number of ways one can fill a $3 \times 3 \times n$ tower with blocks of $2 \times 1 \times 1$.
You're allowed to rotate the blocks in any way you like; however, rotations, reflections etc of the tower itself are counted as distinct.

For example (with $q = 100000007$):
$f(2) = 229$,
$f(4) = 117805$,
$f(10) \bmod q = 96149360$,
$f(10^3) \bmod q = 24806056$,
$f(10^6) \bmod q = 30808124$.

Find $f(10^{10000}) \bmod 100000007$.",REDACTED
pe-325,"A game is played with two piles of stones and two players.

On each player's turn, the player may remove a number of stones from the larger pile.

The number of stones removed must be a positive multiple of the number of stones in the smaller pile.

E.g. Let the ordered pair $(6,14)$ describe a configuration with $6$ stones in the smaller pile and $14$ stones in the larger pile, then the first player can remove $6$ or $12$ stones from the larger pile.

The player taking all the stones from a pile wins the game.

A winning configuration is one where the first player can force a win. For example, $(1,5)$, $(2,6)$, and $(3,12)$ are winning configurations because the first player can immediately remove all stones in the second pile.

A losing configuration is one where the second player can force a win, no matter what the first player does. For example, $(2,3)$ and $(3,4)$ are losing configurations: any legal move leaves a winning configuration for the second player.

Define $S(N)$ as the sum of $(x_i + y_i)$ for all losing configurations $(x_i, y_i), 0 \lt x_i \lt y_i \le N$.

We can verify that $S(10) = 211$ and $S(10^4) = 230312207313$.

Find $S(10^{16}) \bmod 7^{10}$.",REDACTED
pe-326,"Let $a_n$ be a sequence recursively defined by:$\quad a_1=1,\quad\displaystyle a_n=\biggl(\sum_{k=1}^{n-1}k\cdot a_k\biggr)\bmod n$.

So the first $10$ elements of $a_n$ are: $1,1,0,3,0,3,5,4,1,9$.

Let $f(N, M)$ represent the number of pairs $(p, q)$ such that: 

$$
\def\htmltext#1{\style{font-family:inherit;}{\text{#1}}}
1\le p\le q\le N \quad\htmltext{and}\quad\biggl(\sum_{i=p}^qa_i\biggr)\bmod M=0
$$

It can be seen that $f(10,10)=4$ with the pairs $(3,3)$, $(5,5)$, $(7,9)$ and $(9,10)$.

You are also given that $f(10^4,10^3)=97158$.

Find $f(10^{12},10^6)$.",REDACTED
pe-328,"We are trying to find a hidden number selected from the set of integers $\{1, 2, \dots, n\}$ by asking questions. 
Each number (question) we ask, has a cost equal to the number asked and we get one of three possible answers:

-  ""Your guess is lower than the hidden number"", or

-  ""Yes, that's it!"", or

-  ""Your guess is higher than the hidden number"".

Given the value of $n$, an optimal strategy minimizes the total cost (i.e. the sum of all the questions asked) for the worst possible case. E.g.

If $n=3$, the best we can do is obviously to ask the number ""2"". The answer will immediately lead us to find the hidden number (at a total cost $= 2$).

If $n=8$, we might decide to use a ""binary search"" type of strategy: Our first question would be ""$\mathbf 4$"" and if the hidden number is higher than $4$ we will need one or two additional questions.

Let our second question be ""$\mathbf 6$"". If the hidden number is still higher than $6$, we will need a third question in order to discriminate between $7$ and $8$.

Thus, our third question will be ""$\mathbf 7$"" and the total cost for this worst-case scenario will be $4+6+7={\color{red}\mathbf{17}}$.

We can improve considerably the worst-case cost for $n=8$, by asking ""$\mathbf 5$"" as our first question.

If we are told that the hidden number is higher than $5$, our second question will be ""$\mathbf 7$"", then we'll know for certain what the hidden number is (for a total cost of $5+7={\color{blue}\mathbf{12}}$).

If we are told that the hidden number is lower than $5$, our second question will be ""$\mathbf 3$"" and if the hidden number is lower than $3$ our third question will be ""$\mathbf 1$"", giving a total cost of $5+3+1={\color{blue}\mathbf 9}$.

Since ${\color{blue}\mathbf{12}} \gt {\color{blue}\mathbf 9}$, the worst-case cost for this strategy is ${\color{red}\mathbf{12}}$. That's better than what we achieved previously with the ""binary search"" strategy; it is also better than or equal to any other strategy.

So, in fact, we have just described an optimal strategy for $n=8$.

Let $C(n)$ be the worst-case cost achieved by an optimal strategy for $n$, as described above.

Thus $C(1) = 0$, $C(2) = 1$, $C(3) = 2$ and $C(8) = 12$.

Similarly, $C(100) = 400$ and $\sum \limits_{n = 1}^{100} C(n) = 17575$.

Find $\sum \limits_{n = 1}^{200000} C(n)$.

Give your answer modulo $99991$.",REDACTED
pe-330,"An infinite sequence of real numbers $a(n)$ is defined for all integers $n$ as follows:
$$a(n) = \begin{cases}
1 &amp; n \lt 0\\
\sum \limits_{i = 1}^{\infty}{\dfrac{a(n - i)}{i!}} &amp; n \ge 0
\end{cases}$$

For example,

$a(0) = \dfrac{1}{1!} + \dfrac{1}{2!} + \dfrac{1}{3!} + \cdots = e - 1$

$a(1) = \dfrac{e - 1}{1!} + \dfrac{1}{2!} + \dfrac{1}{3!} + \cdots = 2e - 3$

$a(2) = \dfrac{2e - 3}{1!} + \dfrac{e - 1}{2!} + \dfrac{1}{3!} + \cdots = \dfrac{7}{2}e - 6$

with $e = 2.7182818...$ being Euler's constant.

It can be shown that $a(n)$ is of the form $\dfrac{A(n)e + B(n)}{n!}$ for integers $A(n)$ and $B(n)$.

For example, $a(10) = \dfrac{328161643e - 652694486}{10!}$.

Find $A(10^9) + B(10^9)$ and give your answer mod $77\,777\,777$.",REDACTED
pe-333,"All positive integers can be partitioned in such a way that each and every term of the partition can be expressed as $2^i \times 3^j$, where $i,j \ge 0$.

Let's consider only such partitions where none of the terms can divide any of the other terms.

For example, the partition of $17 = 2 + 6 + 9 = (2^1 \times 3^0 + 2^1 \times 3^1 + 2^0 \times 3^2)$ would not be valid since $2$ can divide $6$. Neither would the partition $17 = 16 + 1 = (2^4 \times 3^0 + 2^0 \times 3^0)$ since $1$ can divide $16$. The only valid partition of $17$ would be $8 + 9 = (2^3 \times 3^0 + 2^0 \times 3^2)$.

Many integers have more than one valid partition, the first being $11$ having the following two partitions.

$11 = 2 + 9 = (2^1 \times 3^0 + 2^0 \times 3^2)$

$11 = 8 + 3 = (2^3 \times 3^0 + 2^0 \times 3^1)$

Let's define $P(n)$ as the number of valid partitions of $n$. For example, $P(11) = 2$.

Let's consider only the prime integers $q$ which would have a single valid partition such as $P(17)$.

The sum of the primes $q \lt 100$ such that $P(q)=1$ equals $233$.

Find the sum of the primes $q \lt 1000000$ such that $P(q)=1$.

Give your answer modulo $99991$.",REDACTED
pe-337,"Let $\{a_1, a_2, \dots, a_n\}$ be an integer sequence of length $n$ such that:

- $a_1 = 6$

- for all $1 \le i \lt n$: $\phi(a_i) \lt \phi(a_{i + 1}) \lt a_i \lt a_{i + 1}$.1

Let $S(N)$ be the number of such sequences with $a_n \le N$.

For example, $S(10) = 4$: $\{6\}$, $\{6, 8\}$, $\{6, 8, 9\}$ and $\{6, 10\}$.

We can verify that $S(100) = 482073668$ and $S(10\,000) \bmod 10^8 = 73808307$.

Find $S(20\,000\,000) \bmod 10^8$.

1 $\phi$ denotes Euler's totient function.",REDACTED
pe-340,"For fixed integers $a, b, c$, define the crazy function $F(n)$ as follows:

$F(n) = n - c$ for all $n \gt b$

$F(n) = F(a + F(a + F(a + F(a + n))))$ for all $n \le b$.

Also, define $S(a, b, c) = \sum \limits_{n = 0}^b F(n)$.

For example, if $a = 50$, $b = 2000$ and $c = 40$, then $F(0) = 3240$ and $F(2000) = 2040$.

Also, $S(50, 2000, 40) = 5204240$.

Find the last $9$ digits of $S(21^7, 7^{21}, 12^7)$.",REDACTED
pe-341,"The Golomb's self-describing sequence $(G(n))$ is the only nondecreasing sequence of natural numbers such that $n$ appears exactly $G(n)$ times in the sequence. The values of $G(n)$ for the first few $n$ are

$$
\begin{matrix}
n &amp; 1 &amp; 2 &amp; 3 &amp; 4 &amp; 5 &amp; 6 &amp; 7 &amp; 8 &amp; 9 &amp; 10 &amp; 11 &amp; 12 &amp; 13 &amp; 14 &amp; 15 &amp; \ldots \\
G(n) &amp; 1 &amp; 2 &amp; 2 &amp; 3 &amp; 3 &amp; 4 &amp; 4 &amp; 4 &amp; 5 &amp; 5 &amp; 5 &amp; 6 &amp; 6 &amp; 6 &amp; 6 &amp; \ldots
\end{matrix}
$$

You are given that $G(10^3) = 86$, $G(10^6) = 6137$.

You are also given that $\sum G(n^3) = 153506976$ for $1 \le n \lt 10^3$.

Find $\sum G(n^3)$ for $1 \le n \lt 10^6$.

Give your answer modulo $99991$.",REDACTED
pe-342,"Consider the number $50$.

$50^2 = 2500 = 2^2 \times 5^4$, so $\phi(2500) = 2 \times 4 \times 5^3 = 8 \times 5^3 = 2^3 \times 5^3$. 1

So $2500$ is a square and $\phi(2500)$ is a cube.

Find the sum of all numbers $n$, $1 \lt n \lt 10^{10}$ such that $\phi(n^2)$ is a cube.

1 $\phi$ denotes Euler's totient function.

Give your answer modulo $99991$.",REDACTED
pe-343,"For any positive integer $k$, a finite sequence $a_i$ of fractions $x_i/y_i$ is defined by:

$a_1 = 1/k$ and

$a_i = (x_{i - 1} + 1) / (y_{i - 1} - 1)$ reduced to lowest terms for $i \gt 1$.

When $a_i$ reaches some integer $n$, the sequence stops. (That is, when $y_i = 1$.)

Define $f(k) = n$. 

For example, for $k = 20$:

$1/20 \to 2/19 \to 3/18 = 1/6 \to 2/5 \to 3/4 \to 4/3 \to 5/2 \to 6/1 = 6$

So $f(20) = 6$.

Also $f(1) = 1$, $f(2) = 2$, $f(3) = 1$ and $\sum f(k^3) = 118937$ for $1 \le k \le 100$.

Find $\sum f(k^3)$ for $1 \le k \le 2 \times 10^6$.

Give your answer modulo $99991$.",REDACTED
pe-345,"We define the Matrix Sum of a matrix as the maximum possible sum of matrix elements such that none of the selected elements share the same row or column.

For example, the Matrix Sum of the matrix below equals 3315 ( = 863 + 383 + 343 + 959 + 767):

  7  53 183 439 863

497 383 563  79 973

287  63 343 169 583

627 343 773 959 943
767 473 103 699 303

Find the Matrix Sum of:

  7  53 183 439 863 497 383 563  79 973 287  63 343 169 583

627 343 773 959 943 767 473 103 699 303 957 703 583 639 913

447 283 463  29  23 487 463 993 119 883 327 493 423 159 743

217 623   3 399 853 407 103 983  89 463 290 516 212 462 350

960 376 682 962 300 780 486 502 912 800 250 346 172 812 350

870 456 192 162 593 473 915  45 989 873 823 965 425 329 803

973 965 905 919 133 673 665 235 509 613 673 815 165 992 326

322 148 972 962 286 255 941 541 265 323 925 281 601  95 973

445 721  11 525 473  65 511 164 138 672  18 428 154 448 848

414 456 310 312 798 104 566 520 302 248 694 976 430 392 198

184 829 373 181 631 101 969 613 840 740 778 458 284 760 390

821 461 843 513  17 901 711 993 293 157 274  94 192 156 574

 34 124   4 878 450 476 712 914 838 669 875 299 823 329 699

815 559 813 459 522 788 168 586 966 232 308 833 251 631 107

813 883 451 509 615  77 281 613 459 205 380 274 302  35 805

Give your answer modulo $99991$.",REDACTED
pe-346,"The number $7$ is special, because $7$ is $111$ written in base $2$, and $11$ written in base $6$ (i.e. $7_{10} = 11_6 = 111_2$). In other words, $7$ is a repunit in at least two bases $b \gt 1$. 

We shall call a positive integer with this property a strong repunit. It can be verified that there are $8$ strong repunits below $50$: $\{1,7,13,15,21,31,40,43\}$.

Furthermore, the sum of all strong repunits below $1000$ equals $15864$.

Find the sum of all strong repunits below $10^{12}$.

Give your answer modulo $99991$.",REDACTED
pe-347,"The largest integer $\le 100$ that is only divisible by both the primes $2$ and $3$ is $96$, as $96=32\times 3=2^5 \times 3$.
For two distinct primes $p$ and $q$ let $M(p,q,N)$ be the largest positive integer $\le N$ only divisible by both $p$ and $q$ and $M(p,q,N)=0$ if such a positive integer does not exist.

E.g. $M(2,3,100)=96$.
 
$M(3,5,100)=75$ and not $90$ because $90$ is divisible by $2$, $3$ and $5$.

Also $M(2,73,100)=0$ because there does not exist a positive integer $\le 100$ that is divisible by both $2$ and $73$.

Let $S(N)$ be the sum of all distinct $M(p,q,N)$.
$S(100)=2262$.

Find $S(10\,000\,000)$.

Give your answer modulo $99991$.",REDACTED
pe-348,"Many numbers can be expressed as the sum of a square and a cube. Some of them in more than one way.

Consider the palindromic numbers that can be expressed as the sum of a square and a cube, both greater than $1$, in exactly $4$ different ways.

For example, $5229225$ is a palindromic number and it can be expressed in exactly $4$ different ways:

$2285^2 + 20^3$

$2223^2 + 66^3$

$1810^2 + 125^3$

$1197^2 + 156^3$

 
Find the sum of the five smallest such palindromic numbers.

Give your answer modulo $99991$.",REDACTED
pe-349,"An ant moves on a regular grid of squares that are coloured either black or white.
 
The ant is always oriented in one of the cardinal directions (left, right, up or down) and moves from square to adjacent square according to the following rules:

- if it is on a black square, it flips the colour of the square to white, rotates $90$ degrees counterclockwise and moves forward one square.

- if it is on a white square, it flips the colour of the square to black, rotates $90$ degrees clockwise and moves forward one square.

Starting with a grid that is entirely white, how many squares are black after $10^{18}$ moves of the ant?

Give your answer modulo $99991$.",REDACTED
